mz,rt,20080809_NIH_EWY_POS_039001,20080809_NIH_EWY_POS_031201,20080809_NIH_EWY_POS_088501,20080809_NIH_EWY_POS_066801,20080809_NIH_EWY_POS_083801,20080809_NIH_EWY_POS_114101,20080809_NIH_EWY_POS_036801,20080809_NIH_EWY_POS_095001,20080809_NIH_EWY_POS_099601,20080809_NIH_EWY_POS_033501,20080809_NIH_EWY_POS_075501,20080809_NIH_EWY_POS_048101,20080809_NIH_EWY_POS_083201,20080809_NIH_EWY_POS_123401,20080809_NIH_EWY_POS_041801,20080809_NIH_EWY_POS_110001,20080809_NIH_EWY_POS_026901,20080809_NIH_EWY_POS_006001,20080809_NIH_EWY_POS_063201,20080809_NIH_EWY_POS_017801,20080809_NIH_EWY_POS_012701,20080809_NIH_EWY_POS_068701,20080809_NIH_EWY_POS_087801,20080809_NIH_EWY_POS_017001,20080809_NIH_EWY_POS_029201,20080809_NIH_EWY_POS_052101,20080809_NIH_EWY_POS_087301,20080809_NIH_EWY_POS_018101,20080809_NIH_EWY_POS_113801,20080809_NIH_EWY_POS_015701,20080809_NIH_EWY_POS_124101,20080809_NIH_EWY_POS_078801,20080809_NIH_EWY_POS_041101,20080809_NIH_EWY_POS_009301,20080809_NIH_EWY_POS_034101,20080809_NIH_EWY_POS_038901,20080809_NIH_EWY_POS_043601,20080809_NIH_EWY_POS_119001,20080809_NIH_EWY_POS_073001,20080809_NIH_EWY_POS_085601,20080809_NIH_EWY_POS_017701,20080809_NIH_EWY_POS_065401,20080809_NIH_EWY_POS_088801,20080809_NIH_EWY_POS_058001,20080809_NIH_EWY_POS_088701,20080809_NIH_EWY_POS_005101,20080809_NIH_EWY_POS_054701,20080809_NIH_EWY_POS_011701,20080809_NIH_EWY_POS_018001,20080809_NIH_EWY_POS_124501,isotopes,adduct
#,#,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,#,#
141.0664739,21.81299946,3154.113864,2074.026767,1714.177028,6838.096195,2381.281816,16160.60849,1983.092067,4307.747398,1615.1366,2116.975252,2271.980443,4487.777215,3811.292251,3716.05565,1803.184004,2540.036566,12091.56902,3673.679025,2555.725927,9075.249955,7013.27047,3875.268934,1676.895028,5832.3213,854.2633751,9075.119295,42945.34292,2945.610325,4148.663239,6666.158749,4402.998827,3288.957144,5909.924848,2873.015679,6957.375467,5287.986904,4210.668714,7780.694384,13305.02683,3948.533473,4947.404193,6218.074806,17316.75058,8453.134729,3007.235431,2610.123554,11377.89843,2139.001436,3231.534301,5412.305064,,[M+H+HCOOH]+ 94.0617
141.9600985,571.2604909,59268.99394,28089.81754,20882.44111,30406.11877,22939.95003,25063.51643,26158.17217,21155.49868,25426.84538,24857.45151,22123.10925,22953.8527,23596.41599,19893.00474,22676.79557,27226.96449,29306.63324,26294.82113,26473.42918,38682.3054,36773.86111,27790.29213,21561.03252,41140.18936,29608.35392,28714.91334,24643.57026,41468.64462,26676.70393,39177.05712,28783.02359,27505.44656,22090.64363,27753.74379,31048.99953,60252.47295,21916.78713,24143.11162,25042.01709,23629.10175,42803.69519,33266.9256,21300.81466,29656.22946,20476.63652,30396.37918,24521.75015,32720.90727,39394.41266,28611.14158,,[M+H-CH2]+ 154.971
142.085967,25.0740003,6234.04884,1377.237726,6118.298873,2179.664903,1008.587383,3168.494857,578.5167071,12215.28844,1101.982095,1386.053813,999.3511653,9411.955906,1815.0146,4677.42719,3783.739646,2918.709245,9289.978742,2041.844575,7768.295387,2405.334425,1392.850323,756.1177919,1385.470835,1638.419212,1441.732546,2617.76646,12874.52036,979.1080901,1256.487621,1713.93539,8006.836156,2469.383619,3310.549178,2894.391055,3514.749422,1060.605774,5440.046882,14853.64937,2329.637733,4312.394662,3125.12987,3114.56953,6639.655617,5840.814539,7128.407195,1531.020145,2799.094418,4494.750602,6109.534689,2239.641411,,[M+H-CH4]+ 157.106
142.9763836,569.9699982,5792.146311,3566.89945,3014.624834,3692.141314,3783.533048,4037.073705,2817.161449,3504.703654,3670.531172,2820.20495,2958.810105,3347.654763,3188.616909,3152.595161,2828.336696,3936.045526,3278.31297,2418.417409,3594.210003,4655.762373,3680.691898,3669.592907,2928.171414,4581.589824,3655.718827,3859.213881,3297.887641,5754.040722,4173.332997,4110.606058,3845.479355,3875.69061,2637.715227,3008.063735,3598.305196,5934.771942,2863.894135,3714.787167,3229.259593,3548.715887,4315.172356,4179.466074,2967.916576,3769.477201,3180.723619,3467.162703,3528.395841,3515.825074,4072.712249,4449.114999,,
143.0972993,24.05099997,5898.207306,2873.574218,4128.191357,3238.244766,2595.771963,5356.229755,1630.833201,2603.541887,4732.188077,3232.069336,2628.262675,6995.630174,2838.404005,3229.820484,3172.133746,3913.793452,4760.548172,3579.661793,1965.618288,4429.795702,4024.786405,3427.343383,4738.733659,4886.519793,2697.664565,7546.001384,12338.24676,3456.463405,3829.326679,2953.083274,9071.300037,4676.868592,3515.023945,2398.947323,6366.791148,3752.456246,6126.947559,5183.275829,3625.897445,4738.270224,6047.999684,4044.003939,6020.446529,4095.643587,4219.584075,2291.103086,6235.922762,3144.609343,3196.725926,5255.338836,,[M+H-CH3]+ 157.106
143.0953488,115.8519995,1094.689326,454.0394302,1518.179352,1433.466349,624.26648,560.3172329,945.8567707,1838.662187,858.9525262,430.4776067,852.9894568,2837.517091,2273.007459,2511.978948,2367.709215,1471.973189,420.5943334,922.0513023,5906.338182,960.8880285,2052.103698,989.0048429,863.8040811,1402.51312,294.5246061,2023.281152,3492.03991,825.9200892,626.7996288,1037.077486,7078.949959,1721.79551,722.4805434,848.0160818,2900.020171,2503.510755,5249.160773,1881.484193,4309.901974,3674.529016,2192.920195,3389.187222,3856.333672,5619.537325,1345.713261,756.2352474,2302.703175,1609.914345,576.3818314,974.2175398,,
143.9611612,566.8144849,10806.25848,8479.43843,5635.767578,6778.860744,5035.398003,6941.737468,5114.218809,4710.534979,6750.041404,4341.985963,4450.336825,6024.674658,5943.268987,5776.975809,4082.219196,8576.741837,7080.504346,3194.25791,5017.340457,10936.99662,8582.766509,5328.115884,5575.762241,11250.65133,7278.200297,9169.449716,6722.685878,12604.7777,7756.100857,11482.9665,6725.336964,7559.370348,4162.69947,4196.535176,8118.414191,11111.46426,4328.537909,8144.520604,6083.324233,6942.76122,12814.0652,6027.836431,5257.463198,8131.957242,4420.401353,5965.642449,5613.735534,5451.883645,7885.076035,6869.126301,,
144.1022584,22.13250024,23744.69276,72160.92044,14162.00618,173725.8766,231141.1225,97219.13809,36913.50571,12342.82073,242875.2623,43198.64604,118047.0528,16441.34572,6618.434458,33422.42472,13732.46879,91505.95505,104147.7392,7175.533401,253189.3796,149063.3383,114403.7463,36255.72823,15952.52789,34576.39232,179913.6591,79470.22978,255592.3645,7367.101531,212782.729,84694.48849,49591.08546,17354.70488,23668.00924,10256.59574,10746.93236,53894.2745,26346.39481,35299.33323,88016.85103,210475.8052,26579.23858,7666.023706,40313.50063,11420.89005,15532.17693,2583.47566,135491.4426,22087.84847,178043.0138,83114.42369,[8][M]+,[M+H-H20]+ 161.106
144.9841045,561.3550253,34837.53278,37107.92461,17327.4217,27308.96206,20898.50887,19600.59265,37185.13745,18697.46524,20811.15746,36963.91083,20976.44716,26921.1765,21152.25149,14915.06554,29799.29142,20694.51572,42328.38424,45312.63598,29323.02531,48388.24253,49259.69151,26410.50972,19099.7787,49009.7469,38693.11108,27590.87535,19243.33942,48321.37521,20320.87559,46723.63675,6964.530775,24683.26346,28476.15445,42369.60937,38743.31762,34292.47827,28212.26761,17910.56804,24385.60461,22639.63137,48308.39735,27123.80669,17228.05275,29935.60116,17472.07718,50224.22637,27103.93356,50406.54249,51813.21182,14404.39129,,
145.0969404,21.88999934,2890.757528,6703.156988,1384.186117,17173.41012,25394.1357,9190.640485,3343.676188,925.6887109,23821.35624,5057.283915,12634.52208,2394.098342,1813.734901,2888.95857,2329.052415,9901.094658,9582.409195,1109.222158,24835.40233,14157.76269,10066.46094,3084.953561,2000.371758,3926.785965,17112.03997,8428.785345,27786.48331,795.8503423,18959.1683,7788.60302,9227.09814,1533.12472,2163.20971,1069.715753,3816.404332,6014.849374,3863.91461,7358.90898,10418.45078,21388.00485,2630.407057,1042.915638,3706.152198,685.7414422,1535.520664,1976.230488,14166.02671,2445.13259,18905.73329,8684.410448,[8][M+1]+,
145.9445906,570.9425019,9973.985194,9124.580472,6420.095769,8480.277131,5662.067509,6488.149438,8695.239679,6242.735417,7249.24225,7979.363001,5568.05022,7744.481857,6537.452221,6595.357679,8678.290864,7854.610353,9506.135174,7535.794923,8632.441549,11211.47753,10562.04758,7888.088062,6063.10811,11572.92423,9289.011798,9327.847456,6099.081667,13235.82029,6845.770618,11629.21239,7536.54551,7330.855812,8746.479906,8344.741978,7775.143659,9793.018263,7516.015968,6267.521471,6330.808645,6598.496874,11562.35621,8772.791657,6135.580081,8397.334878,5964.094201,8040.516642,8052.649811,10073.92562,12043.69998,8191.218651,,
146.0605401,125.451504,7593.253723,3330.326937,5749.203226,5550.477961,4147.303631,4537.315828,2163.092987,6959.970596,5275.925877,3018.908663,4018.993301,11970.94897,13872.41225,5978.981312,8023.060273,7177.096351,3554.544818,5386.245434,2454.979211,4244.738175,5511.142499,5493.235795,7938.423795,2654.963697,1066.164183,15025.47996,7039.934832,3048.613997,2365.871916,4776.859439,40512.46357,5857.294456,7326.541861,1086.090796,3029.412842,7797.034058,16575.50882,15512.56155,5851.310179,12099.91938,7649.084504,4206.240918,8743.579341,11311.79963,10115.97717,3318.734416,12082.51925,3406.663008,2620.024984,3285.940096,,
146.0917329,24.45950028,3612.580426,2459.559876,1522.073434,7607.175425,7027.755947,4694.139862,1778.523279,1269.682888,14786.31297,2315.224647,6202.274337,4861.565563,3111.693879,2962.413591,3674.618069,4964.523999,5573.300314,1569.978259,9126.978801,7389.929236,4545.718434,3246.424818,1786.416718,4240.704409,4379.165612,4866.753964,22177.29634,1747.043642,8010.202736,3410.348374,5088.327217,2378.936944,288.1872591,3197.380636,2128.189128,4083.332911,3478.597112,8945.388834,5825.665251,19969.21014,2068.024704,3308.250522,3181.04574,2373.774025,2170.700072,1545.744959,5032.032765,1546.256329,6758.087324,7491.055779,,
146.9830904,561.149025,16061.91741,16745.86317,8027.655396,12726.39917,9464.869975,8855.687757,17404.22599,8363.047926,9177.671268,18393.97642,9839.021573,12974.03955,9508.079156,6265.808002,13821.08359,9490.98588,18434.70047,21561.78238,13426.77433,23573.77662,23807.26918,12266.10848,8500.742013,23582.39321,18810.90917,13022.59321,8188.230525,22219.84308,8948.703861,21701.28479,2736.413643,11109.7892,14015.13207,19743.99102,17946.79363,16255.55375,12961.7608,7843.536793,10940.29632,9787.107471,22498.55097,12981.946,8060.290422,12923.7406,8030.297495,24162.33485,12573.56215,23805.42645,24477.15784,6026.506168,,[M+H]+ 145.973
147.0762182,159.3395019,4572.957084,3680.026441,5544.03373,6686.303884,3944.589821,4574.588874,949.6688526,8265.953992,6261.751753,1932.975988,4483.961629,11601.40798,7426.059189,11106.40504,8450.593425,7404.103831,6784.58812,6110.696604,3995.605389,4742.770276,17215.02161,4344.216793,3448.013603,8346.632908,2564.178384,21048.69968,20699.24417,5446.833761,6051.294943,4946.486036,44549.78024,11898.42796,7275.594077,2039.253986,7398.712115,9823.245605,21523.19582,16896.65311,8608.206177,16700.00381,8935.720289,7003.708579,7068.852886,11909.28515,12462.15773,6220.746842,3265.381998,5225.29433,4884.871106,5464.895275,,[M+H+NH3]+ 129.046
147.0478862,52.70750078,5852.472211,3503.933049,3478.316703,4625.974709,838.9102057,3043.171014,3066.782239,3287.067459,1371.717962,5150.545397,909.9903786,3622.633944,10721.2434,3596.823134,6477.528548,11000.45788,5279.408074,6462.455169,6626.708024,5680.611,26597.68849,3786.081223,2720.489398,3869.713407,2578.59163,31271.48051,9495.158009,3200.345907,974.1160049,1521.587562,64124.05518,9562.793364,4455.445301,595.6203547,9451.398348,23305.96647,8324.08315,33046.76929,4534.630968,3468.191895,15557.50399,4662.620915,15386.58619,9258.566892,6025.139432,4566.806453,7159.22177,8329.837147,1891.33521,1678.69872,,
147.0846254,266.5464882,2666.711691,993.5157112,1122.575629,1670.598061,678.296678,778.850762,285.4697264,1745.652134,367.9001907,814.6501717,868.6967176,4246.127262,4052.409583,1873.685501,4390.73239,6338.14226,1628.051283,819.6009915,1949.909939,2240.140362,5955.565573,1874.118169,1751.578634,1249.070967,523.8414209,6582.66874,10474.71983,552.5449188,1061.178881,828.0090563,13657.53346,3849.442331,1217.017974,411.5079976,2366.396521,3330.719072,3439.939215,8538.953792,1243.736963,3384.591155,2183.682109,4666.375825,11348.16836,8637.511143,2207.371646,1015.534981,1937.443844,1836.358435,622.5690261,1575.722152,,
148.1093917,114.3219974,3554.642282,2339.677312,1878.881717,1885.006376,1020.815974,2389.141235,1050.115881,2821.839695,1649.524394,383006.7364,3710.856952,3226.608664,3867.498548,4077.086448,5661.394379,39865.7489,2032.741986,2568.490749,2604.473588,2815.859131,1397.263954,343789.2867,2261.402251,2313.173144,1054.989346,7965.704207,14332.33256,2199.156714,1242.988695,1620.304709,8460.464242,696.1643327,2182.521892,926.9312155,43769.21744,2338.249,8378.25589,5835.782346,2769.33851,4883.2871,1936.115775,4277.665561,1907.95909,3371.983668,3244.188903,1033.175461,4301.709533,2469.804108,842.3005621,1144.562743,,
